timestamp,medianEnergy,RunPeriod
1.5416e+09,2.7906e-06,21/10/2018
1.5416e+09,2.9402e-06,21/10/2018
1.5416e+09,2.7919e-06,21/10/2018
1.5416e+09,2.734e-06,21/10/2018
1.5416e+09,3.2267e-06,21/10/2018
1.5416e+09,2.8253e-06,21/10/2018
1.5416e+09,3.0805e-06,21/10/2018
1.5416e+09,2.994e-06,21/10/2018
1.5416e+09,2.9682e-06,21/10/2018
1.5416e+09,2.7599e-06,21/10/2018
1.5416e+09,3.0451e-06,21/10/2018
1.5416e+09,3.0104e-06,21/10/2018
1.5416e+09,2.6867e-06,21/10/2018
1.5416e+09,2.5524e-06,21/10/2018
1.5417e+09,2.8575e-06,21/10/2018
1.5417e+09,2.9871e-06,21/10/2018
1.5417e+09,2.8422e-06,21/10/2018
1.5417e+09,2.7638e-06,21/10/2018
1.5417e+09,2.4746e-06,21/10/2018
1.5417e+09,2.6674e-06,21/10/2018
1.5417e+09,2.7505e-06,21/10/2018
1.5418e+09,2.9328e-06,21/10/2018
1.5418e+09,2.7532e-06,21/10/2018
1.5418e+09,2.9495e-06,21/10/2018
1.5418e+09,2.9244e-06,21/10/2018
1.5418e+09,2.8627e-06,21/10/2018
1.5418e+09,2.5857e-06,21/10/2018
1.5418e+09,2.7411e-06,21/10/2018
1.5418e+09,2.7732e-06,21/10/2018
1.5418e+09,2.7692e-06,21/10/2018
1.5418e+09,2.8485e-06,21/10/2018
1.5418e+09,3.0238e-06,21/10/2018
1.5418e+09,2.8433e-06,21/10/2018
1.5418e+09,2.8185e-06,21/10/2018
1.5418e+09,2.7813e-06,21/10/2018
1.5418e+09,2.9475e-06,21/10/2018
1.5418e+09,2.7048e-06,21/10/2018
1.5418e+09,2.7205e-06,21/10/2018
1.5418e+09,2.9581e-06,21/10/2018
1.5418e+09,3.1076e-06,21/10/2018
1.5418e+09,2.9056e-06,21/10/2018
1.5418e+09,2.5212e-06,21/10/2018
1.5418e+09,2.6627e-06,21/10/2018
1.5418e+09,3.1469e-06,21/10/2018
1.5418e+09,2.5951e-06,21/10/2018
1.5418e+09,2.7787e-06,21/10/2018
1.5418e+09,3.0652e-06,21/10/2018
1.5418e+09,2.6781e-06,21/10/2018
1.5418e+09,2.5897e-06,21/10/2018
1.5418e+09,2.7972e-06,21/10/2018
1.5418e+09,2.9113e-06,21/10/2018
1.5418e+09,2.6563e-06,21/10/2018
1.5419e+09,2.8572e-06,21/10/2018
1.5419e+09,2.5676e-06,21/10/2018
1.5419e+09,2.6739e-06,21/10/2018
1.5419e+09,2.7611e-06,21/10/2018
1.5419e+09,2.8346e-06,21/10/2018
1.5419e+09,2.9689e-06,21/10/2018
1.5419e+09,2.9652e-06,21/10/2018
1.5419e+09,3.1465e-06,21/10/2018
1.5419e+09,3.0612e-06,21/10/2018
1.5419e+09,2.7787e-06,21/10/2018
1.5419e+09,2.7757e-06,21/10/2018
1.5419e+09,2.9287e-06,21/10/2018
1.5419e+09,2.6837e-06,21/10/2018
1.5419e+09,2.6746e-06,21/10/2018
1.5419e+09,2.581e-06,21/10/2018
1.5419e+09,2.7227e-06,21/10/2018
1.5419e+09,2.8908e-06,21/10/2018
1.5419e+09,2.871e-06,21/10/2018
1.5419e+09,2.7051e-06,21/10/2018
1.5419e+09,3.0095e-06,21/10/2018
1.5419e+09,2.8592e-06,21/10/2018
1.5419e+09,2.5692e-06,21/10/2018
1.5419e+09,2.8607e-06,21/10/2018
1.5419e+09,3.0675e-06,21/10/2018
1.5419e+09,2.9828e-06,21/10/2018
1.5419e+09,2.9447e-06,21/10/2018
1.5419e+09,2.9502e-06,21/10/2018
1.5419e+09,2.8167e-06,21/10/2018
1.5419e+09,3.0864e-06,21/10/2018
1.5419e+09,2.804e-06,21/10/2018
1.5419e+09,2.8019e-06,21/10/2018
1.5419e+09,2.723e-06,21/10/2018
1.5419e+09,2.6912e-06,21/10/2018
1.5419e+09,2.8297e-06,21/10/2018
1.5419e+09,2.5839e-06,21/10/2018
1.5419e+09,2.7551e-06,21/10/2018
1.5419e+09,2.9341e-06,21/10/2018
1.542e+09,2.7867e-06,21/10/2018
