diffFlux,Energy,type
5.78018591e+19,4.0134076,Total flux
5.73796034e+19,4.0234136,Total flux
5.6956723e+19,4.0334196,Total flux
5.65373109e+19,4.0434256,Total flux
5.61253849e+19,4.0534316,Total flux
5.57221972e+19,4.0634376,Total flux
5.54170874e+19,4.0734436,Total flux
5.65309988e+19,4.0834496,Total flux
5.45842028e+19,4.0934556,Total flux
5.41745235e+19,4.1034616,Total flux
5.38025293e+19,4.1134676,Total flux
5.34331252e+19,4.1234736,Total flux
5.30674628e+19,4.1334797,Total flux
5.26886943e+19,4.1434857,Total flux
5.23164575e+19,4.1534917,Total flux
5.19516475e+19,4.1634977,Total flux
5.15928691e+19,4.1735037,Total flux
5.12375447e+19,4.1835097,Total flux
5.08830951e+19,4.1935157,Total flux
5.0536792e+19,4.2035217,Total flux
5.01961636e+19,4.2135277,Total flux
4.98611202e+19,4.2235337,Total flux
4.95301873e+19,4.2335397,Total flux
4.92049042e+19,4.2435457,Total flux
4.88809313e+19,4.2535517,Total flux
4.85634715e+19,4.2635577,Total flux
4.82489542e+19,4.2735637,Total flux
4.79382212e+19,4.2835697,Total flux
4.76307702e+19,4.2935757,Total flux
4.73266966e+19,4.3035817,Total flux
4.70256604e+19,4.3135877,Total flux
4.67269374e+19,4.3235937,Total flux
4.64309605e+19,4.3335997,Total flux
4.61383223e+19,4.3436057,Total flux
4.58489707e+19,4.3536117,Total flux
4.55621577e+19,4.3636177,Total flux
4.52778295e+19,4.3736237,Total flux
4.49954546e+19,4.3836298,Total flux
4.47163692e+19,4.3936358,Total flux
4.44401894e+19,4.4036418,Total flux
4.4166591e+19,4.4136478,Total flux
4.38951654e+19,4.4236538,Total flux
4.3625022e+19,4.4336598,Total flux
4.33570603e+19,4.4436658,Total flux
4.30913031e+19,4.4536718,Total flux
4.28292455e+19,4.4636778,Total flux
4.25709158e+19,4.4736838,Total flux
4.2315054e+19,4.4836898,Total flux
4.20613463e+19,4.4936958,Total flux
4.18091708e+19,4.5037018,Total flux
4.15569668e+19,4.5137078,Total flux
4.1304179e+19,4.5237138,Total flux
4.1054441e+19,4.5337198,Total flux
4.08096076e+19,4.5437258,Total flux
4.05669274e+19,4.5537318,Total flux
4.03150425e+19,4.5637378,Total flux
4.00527575e+19,4.5737438,Total flux
3.97870811e+19,4.5837498,Total flux
3.95239037e+19,4.5937558,Total flux
3.9264946e+19,4.6037618,Total flux
