diffFlux,Energy,type
2.10419433e+19,5.5743442,Total flux
2.09043296e+19,5.5843502,Total flux
2.07223568e+19,5.5943562,Total flux
2.0559232e+19,5.6043622,Total flux
2.04423477e+19,5.6143682,Total flux
2.03833548e+19,5.6243742,Total flux
2.04087158e+19,5.6343803,Total flux
2.04854858e+19,5.6443863,Total flux
2.0378724e+19,5.6543923,Total flux
2.00496475e+19,5.6643983,Total flux
1.97857717e+19,5.6744043,Total flux
1.95687578e+19,5.6844103,Total flux
1.9392316e+19,5.6944163,Total flux
1.92387667e+19,5.7044223,Total flux
1.90993864e+19,5.7144283,Total flux
1.89718856e+19,5.7244343,Total flux
1.8862082e+19,5.7344403,Total flux
1.8799291e+19,5.7444463,Total flux
1.89921584e+19,5.7544523,Total flux
1.91100554e+19,5.7644583,Total flux
1.84803966e+19,5.7744643,Total flux
1.82679979e+19,5.7844703,Total flux
1.81257188e+19,5.7944763,Total flux
1.8002497e+19,5.8044823,Total flux
1.78874253e+19,5.8144883,Total flux
1.77769382e+19,5.8244943,Total flux
1.7669663e+19,5.8345003,Total flux
1.75649813e+19,5.8445063,Total flux
1.74622485e+19,5.8545123,Total flux
1.73615494e+19,5.8645183,Total flux
1.72716109e+19,5.8745243,Total flux
1.71672332e+19,5.8845304,Total flux
1.70705151e+19,5.8945364,Total flux
1.69771522e+19,5.9045424,Total flux
1.68853351e+19,5.9145484,Total flux
1.67945771e+19,5.9245544,Total flux
1.67055005e+19,5.9345604,Total flux
1.6618406e+19,5.9445664,Total flux
1.65333436e+19,5.9545724,Total flux
1.64505448e+19,5.9645784,Total flux
1.63703375e+19,5.9745844,Total flux
1.62931421e+19,5.9845904,Total flux
1.62193527e+19,5.9945964,Total flux
1.61488602e+19,6.0046024,Total flux
1.60829266e+19,6.0146084,Total flux
1.60230392e+19,6.0246144,Total flux
1.59662893e+19,6.0346204,Total flux
1.59103808e+19,6.0446264,Total flux
1.5861888e+19,6.0546324,Total flux
1.58189317e+19,6.0646384,Total flux
1.57560527e+19,6.0746444,Total flux
1.56723115e+19,6.0846504,Total flux
1.5588062e+19,6.0946564,Total flux
1.55205585e+19,6.1046624,Total flux
1.54738182e+19,6.1146684,Total flux
1.5459931e+19,6.1246744,Total flux
1.54981683e+19,6.1346805,Total flux
1.55353933e+19,6.1446865,Total flux
1.54312018e+19,6.1546925,Total flux
1.52685633e+19,6.1646985,Total flux
1.51522195e+19,6.1747045,Total flux
1.50932782e+19,6.1847105,Total flux
1.52549524e+19,6.1947165,Total flux
1.51115382e+19,6.2047225,Total flux
1.48732002e+19,6.2147285,Total flux
1.47872073e+19,6.2247345,Total flux
1.47297004e+19,6.2347405,Total flux
1.46846546e+19,6.2447465,Total flux
1.46481506e+19,6.2547525,Total flux
1.46187043e+19,6.2647585,Total flux
1.45968882e+19,6.2747645,Total flux
1.45822882e+19,6.2847705,Total flux
1.45748268e+19,6.2947765,Total flux
1.45753501e+19,6.3047825,Total flux
1.45847001e+19,6.3147885,Total flux
1.46037631e+19,6.3247945,Total flux
1.46336657e+19,6.3348005,Total flux
1.46750689e+19,6.3448065,Total flux
1.47286961e+19,6.3548125,Total flux
1.47925275e+19,6.3648185,Total flux
1.48758929e+19,6.3748245,Total flux
1.49731421e+19,6.3848306,Total flux
1.50957884e+19,6.3948366,Total flux
1.52467053e+19,6.4048426,Total flux
1.54247312e+19,6.4148486,Total flux
1.56244248e+19,6.4248546,Total flux
1.58488382e+19,6.4348606,Total flux
1.61207176e+19,6.4448666,Total flux
1.64508657e+19,6.4548726,Total flux
1.685314e+19,6.4648786,Total flux
1.73373599e+19,6.4748846,Total flux
1.7920611e+19,6.4848906,Total flux
1.86427081e+19,6.4948966,Total flux
1.953375e+19,6.5049026,Total flux
2.05676262e+19,6.5149086,Total flux
2.17999336e+19,6.5249146,Total flux
2.34431007e+19,6.5349206,Total flux
2.53118979e+19,6.5449266,Total flux
2.70907041e+19,6.5549326,Total flux
2.89980989e+19,6.5649386,Total flux
3.16948455e+19,6.5749446,Total flux
3.39388539e+19,6.5849506,Total flux
3.37716119e+19,6.5949566,Total flux
3.23577159e+19,6.6049626,Total flux
