 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC  APmag  S-brt Ob-lon Ob-lat    S-O-T /r    S-T-O     PlAng
*********************************************************************************************************
 2014-Oct-19 21:00   13 37 09.65 -10 06 47.2 -26.75 -10.59 295.65   5.51   0.0000 /?   0.0000      n.a.
 2014-Oct-19 22:00   13 37 19.16 -10 07 41.1 -26.75 -10.59 295.10   5.51   0.0000 /?   0.0000      n.a.
 2014-Oct-19 23:00   13 37 28.67 -10 08 35.0 -26.75 -10.59 294.55   5.51   0.0000 /?   0.0000      n.a.
 2014-Oct-20 00:00   13 37 38.19 -10 09 29.0 -26.75 -10.59 294.00   5.50   0.0000 /?   0.0000      n.a.
 2014-Oct-20 01:00   13 37 47.71 -10 10 23.1 -26.75 -10.59 293.45   5.50   0.0000 /?   0.0000      n.a.
 2014-Oct-20 02:00   13 37 57.21 -10 11 17.2 -26.75 -10.59 292.90   5.50   0.0000 /?   0.0000      n.a.
 2014-Oct-20 03:00   13 38 06.70 -10 12 11.4 -26.75 -10.59 292.35   5.49   0.0000 /?   0.0000      n.a.
 2014-Oct-20 04:00   13 38 16.16 -10 13 05.6 -26.75 -10.59 291.80   5.49   0.0000 /?   0.0000      n.a.
 2014-Oct-20 05:00   13 38 25.60 -10 13 59.8 -26.75 -10.59 291.25   5.49   0.0000 /?   0.0000      n.a.
 2014-Oct-20 06:00   13 38 35.02 -10 14 54.0 -26.75 -10.59 290.70   5.48   0.0000 /?   0.0000      n.a.
 2014-Oct-20 07:00   13 38 44.40 -10 15 48.1 -26.75 -10.59 290.16   5.48   0.0000 /?   0.0000      n.a.
 2014-Oct-20 08:00   13 38 53.76 -10 16 42.2 -26.75 -10.59 289.61   5.48   0.0000 /?   0.0000      n.a.
 2014-Oct-20 09:00   13 39 03.11 -10 17 36.3 -26.75 -10.59 289.06   5.47   0.0000 /?   0.0000      n.a.
 2014-Oct-20 10:00   13 39 12.43 -10 18 30.3 -26.75 -10.59 288.51   5.47   0.0000 /?   0.0000      n.a.
 2014-Oct-20 11:00   13 39 21.75 -10 19 24.2 -26.75 -10.59 287.96   5.47   0.0000 /?   0.0000      n.a.
 2014-Oct-20 12:00   13 39 31.07 -10 20 18.0 -26.75 -10.59 287.41   5.46   0.0000 /?   0.0000      n.a.
 2014-Oct-20 13:00   13 39 40.39 -10 21 11.7 -26.75 -10.59 286.86   5.46   0.0000 /?   0.0000      n.a.
 2014-Oct-20 14:00   13 39 49.72 -10 22 05.3 -26.75 -10.59 286.31   5.46   0.0000 /?   0.0000      n.a.
 2014-Oct-20 15:00   13 39 59.08 -10 22 58.9 -26.75 -10.59 285.76   5.45   0.0000 /?   0.0000      n.a.
